scenario,scenario_label,district,district_sensitivity_role,industry_code,industry_name,official_city_subgroup_employment,official_district_72_employment,base_district_subgroup_employment,scenario_district_subgroup_employment,difference_from_base,scenario_method,district_subgroup_is_modelled,core_is_hard_control,geometry_or_spatial_allocation_used,grid_created,reach_percentage_calculated,reference_date,employment_universe
low_office_intensity,Low office intensity,黄浦区,priority_office_centre,721,组织管理服务,228288,191187,22919,21678,-1241,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,徐汇区,neutral,721,组织管理服务,228288,151850,18204,18204,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,长宁区,priority_office_centre,721,组织管理服务,228288,106199,12731,12042,-689,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,静安区,priority_office_centre,721,组织管理服务,228288,228852,27434,25948,-1486,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,普陀区,priority_office_centre,721,组织管理服务,228288,88096,10561,9989,-572,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,虹口区,neutral,721,组织管理服务,228288,54193,6497,6497,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,杨浦区,neutral,721,组织管理服务,228288,55036,6598,6598,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,闵行区,neutral,721,组织管理服务,228288,185963,22293,22293,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,宝山区,composition_risk,721,组织管理服务,228288,166347,19941,23929,3988,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,嘉定区,neutral,721,组织管理服务,228288,95276,11422,11422,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
