source_id,source_type,title,publisher,reference_date_or_vintage,snapshot_or_retrieval_date,url,local_or_repository_file,sha256,license_or_terms,reuse_status,used_for,notes
shanghai-epc5-district-control,official employment table,Shanghai Fifth National Economic Census district legal-entity employment table A1-02,Shanghai Municipal Statistics Bureau,2023-12-31,2026-08-17,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,not redistributed,,official statistical publication,tabular facts transcribed with citation,fixed city and 16-district denominator controls,"13,099,795 legal-entity workers; individual businesses excluded"
nbs-2023-statistical-codes,official code reference,2023 statistical zoning-code publication route,National Bureau of Statistics of China,2023,2026-08-19,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,data/employment/manifests/control-crosswalk-2023.csv,,official code publication,codes/names transcribed and cross-checked,immutable 2023 control identity,No fuzzy or silent name matching is performed at runtime.
osm-shanghai-2026-08-19,open vector boundary,OpenStreetMap Shanghai extract,OpenStreetMap contributors; extract by download.openstreetmap.fr,2026-08-19,2026-08-19,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,source PBF cached outside git; extracted 113-control GeoJSON in repository,cba608c2e67cbd2ee7616dcee6833e575e818237048faabf4c0e447acd6c0b6f,"OpenStreetMap contributors, Open Database License 1.0",extracted geometry redistributed under ODbL,113 ordinary street/town control geometries,Attribution: https://www.openstreetmap.org/copyright; extracted GeoJSON SHA-256 d94b7fc3800e8c6bbe3c8b2f376f541b7887f6690a71cee103d53840bdf1a9a9
jrc-ghsl-nres-2020,non-residential built-volume raster,GHS-BUILT-V_NRES_GLOBE_R2023A,European Commission Joint Research Centre,2020 epoch; R2023A release,2026-08-19,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_BUILT_V_GLOBE_R2023A/GHS_BUILT_V_NRES_E2020_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_BUILT_V_NRES_E2020_GLOBE_R2023A_54009_100_V1_0_R6_C30.zip,external cache/GHS_BUILT_V_NRES_E2020_GLOBE_R2023A_54009_100_V1_0_R6_C30.zip; extracted GHS_BUILT_V_NRES_E2020_GLOBE_R2023A_54009_100_V1_0_R6_C30.tif,7aaa3c63832bccd88ba23f926a81b635f3da8ef7345546abbcf6af7232e3d34d,European Commission reuse notice (Decision 2011/833/EU),source raster acquired reproducibly; not committed,building-volume and calibrated workplace models,DOI https://doi.org/10.2905/AB2F107A-03CD-47A3-85E5-139D8EC63283; extracted raster SHA-256 bb7e081ca0f2f2d4fc89892158efbb2dc566711108df097e35fdc874dfd2d607
overture-places-2026-07-22,open place/establishment points,Overture Maps Places,Overture Maps Foundation,2026-07-22.0,2026-08-19,https://overturemaps.org/download/,external exact-Shanghai cache; not committed,1b25bbe11ccec364562d78617b717f865fb1be4a1018d62a1e4d211662761144,Places is multi-license: CDLA Permissive 2.0 or Apache 2.0 by source; retain release per-source attribution; https://docs.overturemaps.org/attribution/,derived predictors and aggregate diagnostics committed,interpretable workplace-category predictors and finance residual surface,20738 exact-Shanghai rows; catalog https://stac.overturemaps.org/catalog.json; predictor snapshot post-dates the 2023 employment reference date and is used only as a spatial proxy
pudong-zone-statistical-polygons-2020,restricted fallback vector boundary,Ruiduobao China divisions map township/statistical polygons,Ruiduobao,2020,2026-08-19,https://map.ruiduobao.com/others/API%E6%96%87%E6%A1%A3.html,not committed; reacquire exact codes 310115501000-310115503000,per-feature hashes documented in methodology,academic/education reference only; commercial use prohibited,source geometry not redistributed,fallback central and sensitivity supports for three immutable Pudong accounting strata,API township geometries are approximately 2020 even when later names are requested.
shanghai-tianditu-official-map-validation,authoritative display/validation map,Shanghai Tianditu standard map; SHMAP_D and SHMAP_LAN services,Shanghai Planning and Natural Resources Bureau / Shanghai Surveying and Mapping Institute,2026-08-19,2026-08-19,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,display exports and review overlay retained outside git,base=817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe; labels=c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b; overlay=c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,authoritative display service; source images not redistributed,validation observations and non-reconstructable hashes committed,visual validation of reach-relevant boundary segments,"service http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer; bbox 121.33,31.015,121.83,31.325; pixels 4096x2540"
pudong-official-zone-planning-scopes,official planning-scope evidence,"FTZ Bonded Area, Jinqiao ETDZ, and Zhangjiang official planning documents",Pudong New Area government and zone administrations,2022-2025 publications,2026-08-19,https://www.pudong.gov.cn/zwgk/14478.gkml_zhzw_ghjh/2024/138/326950.html,not redistributed,,official publications; cited for validation,reported areas and scope descriptions only,functional-zone reported-area morphology sensitivity,Additional exact URLs are retained in intermediate/pudong-zone-sensitivity.csv; planning scope is not equated with census accounting scope.
jinke-production-reach-polygons,pinned production analysis input,Existing Jinke production reach polygons,Jinke repository,main at 4a50a1abb623b11328eeab514e6086d35281fe7e,2026-08-19,https://github.com/FelixVVu/jinke/blob/main/web/public/data/reach-areas.geojson,web/public/data/reach-areas.geojson,6f039b0661f63c1017a2c4a3bc8f5c4d8fdef207ca10afe987f160642fb5656b,repository asset,read only; hash-pinned and never regenerated,exact 10/20/30/40/50-minute intersections,Pipeline fails closed if this hash changes.
epc5-黄浦区,official employment bulletin,黄浦区 Fifth National Economic Census main data bulletin no. 1,黄浦区 Statistics Bureau,2023-12-31,2026-08-19,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,not redistributed,,official publication; source citation retained,tabular facts transcribed with citation,"fine-control employment, units, rounding, and exclusions",enterprise legal-unit data returned by financial regulators
epc5-徐汇区,official employment bulletin,徐汇区 Fifth National Economic Census main data bulletin no. 1,徐汇区 Statistics Bureau,2023-12-31,2026-08-19,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df,uploaded original; not redistributed,29d1fe5ad02c3b8aa8b1044872314aa20c4bb29b7741bb0de6277478b83d71a1,official publication; source citation retained,tabular facts transcribed with citation,"fine-control employment, units, rounding, and exclusions","construction and finance; construction processing-location adjustment applies; Table 1-8 separately reports 17,098 individual-business workers and Table 1-7 reports 7,559 individual businesses; both are excluded"
