source_id,source_type,publisher,year_or_release,url,repository_or_cache_path,sha256,derived_sha256,license_or_reuse,used_for,reproducible
office-spatial-general-employment-grid,derived frozen 100 m analytical input,Jinke employment benchmark v1,2023 controls; 2020 JRC; 2026-07-22 Overture,repository asset,data/employment/intermediate/employment-allocation-grid.parquet,12de4bd6c3f8df26c7702f1a4ff0f6aed797068d3f571a6ccabdd6b5f6f8c1b7,,inherits JRC reuse and Overture per-source attribution,"physical cell lattice, JRC non-residential volume, supplementary POIs",True
osm-building-function-2026-08-23,open building footprint/function and office-establishment tags,OpenStreetMap contributors; extract by download.openstreetmap.fr,2026-08-23,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,raw PBF outside git; derived 100 m evidence committed at data/office_employment/spatial/intermediate/building-function-evidence-100m.parquet,3b6e8bb207db37e6d86546c8e73fcfb3a68b8b6c744f74ed1d5d645bc7873099,d1e7e411fc1dd00a9f61b3ffa53cad9e6f4d829c8e473cff33fa49f670e86699,"OpenStreetMap contributors, Open Database License 1.0; attribution https://www.openstreetmap.org/copyright",building function footprint and office-establishment anchors,derived evidence is frozen in repository; raw URL is rolling and rerun requires the hash-pinned snapshot
official-district-industry-controls-2023,official Fifth Economic Census district-by-industry employment,Shanghai Municipal Statistics Bureau,2023-12-31,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls,data/office_employment/intermediate/district-industry-employment-2023.csv,c791c1a8e0cea282201fd1d3303493ee5e82cfb411a627946c6c95fafa0d7cd9,,official statistical publication,Core I/J/M district hard controls,True
core-plus-composition-scenarios-2023,reviewed constrained district composition sensitivity,Jinke office-employment audit,2023-12-31,repository asset,data/office_employment/scenarios/district-business-services-subgroup-scenarios-2023.csv,e410728f2bdbec3a5cad5c1a37e5d3af91cdfe3f8742189a9932ca5ad1217306,,derived from official statistical tables,Low/Base/High selected-72 district controls,True
official-fine-geographic-controls-2023,audited Fifth Economic Census street/town and zone totals,Shanghai district statistical authorities,2023-12-31,per-row publication URLs in the repository crosswalk,data/employment/manifests/control-crosswalk-2023.csv,154e1d50ba04e31c17aa63a62eb69e54c9c6f7d7334a7b8574ff86242d783a59,c06956d9ef7bac1e562139028bab10a3c4681736c122249a3d380d8d4992a179,official statistical publications,116 exact fine-control row margins in the synthetic industry matrix,True
audited-district-residual-strata-2023,district employment not represented in published fine rows,Jinke Gate 1 census reconciliation,2023-12-31,repository asset with per-district reasons,data/employment/manifests/residual-strata.csv,c86a35140b291f5eeba828f7375759d447c2680e69fbb326fa10094c44212ea2,,derived from official statistical publications,separate residual rows; prevents excluded finance from being silently forced into fine rows,True
district-direct-office-allocation-baseline,frozen pre-revision comparison baseline,Jinke office-employment spatial framework,2023-12-31,repository asset,data/office_employment/spatial/intermediate/district-direct-baseline-100m.parquet,8faed83a6e6e60bdd66c39dfede17c35dc8e05e5705986823ed9c488143caca1,,derived analytical comparison artifact,idempotent comparison against the reviewed district-direct architecture,True
pudong-zone-statistical-polygons-2020,restricted approximate statistical-zone supports,Ruiduobao,approximately 2020,https://map.ruiduobao.com/getGsonDB,not committed; reacquire codes 310115501000-310115503000 using employment_pipeline.sources.acquire_restricted_zone_supports,per-code hashes enforced by employment_pipeline.boundaries,,academic/education reference only; commercial use prohibited; source geometry not redistributed,temporary within-zone allocation; only combined non-reconstructive physical-cell employment totals are committed,reproducible acquisition subject to provider availability
outer-district-fine-controls-2023,audited Fifth Economic Census street/town and functional-control totals,Shanghai district statistical authorities,2023-12-31,per-row official publication URLs in outer-district-control-totals-2023.csv,data/office_employment/spatial/manifests/outer-district-control-totals-2023.csv,bbc77f37838bab407b66153d0d5d6544026c7ca713e243d9c717756a1aa37707,30569d1ea965e3fbe43f63bb817526b8bd6a130946f8f2491cd21e281d95cf78,official statistical publications,91 official fine rows plus disclosed Minhang and Jinshan district fallbacks and six separate residuals,True
outer-osm-boundaries-buildings-2026-08-30,open administrative relations and building/workplace evidence,OpenStreetMap contributors,2026-08-30,https://download.openstreetmap.fr/extracts/asia/china/shanghai.osm.pbf,raw hash-pinned PBF outside git; derived evidence and relation manifest committed,0b307452336c5984f1a894cc514e5d67663cee8d5eca55c0b1b4cb1505e44319,7d35680404e0d69b7248cdd023c63d04ba3a777f052006bd0357f8a8f67d8c81,"OpenStreetMap contributors, Open Database License 1.0; attribution https://www.openstreetmap.org/copyright",79 exact-name ordinary-control relations plus building function and office-establishment anchors,raw URL is rolling; exact snapshot is reproducible only from the recorded SHA-256
outer-jrc-nonresidential-2020,non-residential built-volume raster,European Commission Joint Research Centre,2020 epoch; R2023A release,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_BUILT_V_GLOBE_R2023A/GHS_BUILT_V_NRES_E2020_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_BUILT_V_NRES_E2020_GLOBE_R2023A_54009_100_V1_0_R6_C30.zip,external cache; extracted raster not committed,7aaa3c63832bccd88ba23f926a81b635f3da8ef7345546abbcf6af7232e3d34d,bb7e081ca0f2f2d4fc89892158efbb2dc566711108df097e35fdc874dfd2d607,European Commission reuse notice (Decision 2011/833/EU),outer-district non-residential building volume,True
outer-overture-places-2026-07-22,open place and establishment points,Overture Maps Foundation,2026-07-22.0,https://overturemaps.org/download/,external hash-pinned partition and exact-Shanghai clip; not committed,8c2c2432eccdefa5c65882d255112fa2e6dcf54bdaa23c108cf118eb56e5be06,73a2cde80d687e126499012b66b1e50dfe4954ca933fd46c5a3aef0384beaf5f,Places multi-license with per-source CDLA Permissive 2.0 or Apache 2.0 attribution,2937 workplace-relevant outer-district places used as supplementary evidence,True
outer-parent-district-boundaries,documented approximate district vector,Alibaba DataV.GeoAtlas via existing Jinke economy input,repository snapshot,https://geo.datav.aliyun.com/areas_v3/bound/310000_full.json,data/economy/shanghai-district-boundaries.geojson,279b11087234db63728b35c9970174f7f536505763401127e4eed3b7e0e7340e,c6003bd1fcb381e4dfa62774abd57340766d41222391b4687e5247c90e4217ac,documented open vector approximation; disclose non-official status,parent-district clipping and disclosed overlay controls,True
